Collisions_CONTRIBUTING FACTOR VEHICLE 1,Collisions_VEHICLE TYPE CODE 1,Collisions_VEHICLE TYPE CODE 2,Collisions_VEHICLE TYPE CODE 3,Arrests_PD_DESC,Arrests_AGE_GROUP,Arrests_PERP_SEX,Arrests_PERP_RACE,Complaint_LAW_CAT_CD,Complaint_PD_DESC,Complaint_PREM_TYP_DESC,Complaint_SUSP_AGE_GROUP,Complaint_SUSP_RACE,Complaint_SUSP_SEX,Complaint_VIC_AGE_GROUP,Complaint_VIC_RACE,Complaint_VIC_SEX,Shooting_LOCATION_DESC,Shooting_STATISTICAL_MURDER_FLAG,Shooting_PERP_AGE_GROUP,Shooting_PERP_SEX,Shooting_PERP_RACE,Shooting_VIC_AGE_GROUP,Shooting_VIC_SEX,Shooting_VIC_RACE,sector index
Driver Inattention/Distraction,Sedan,Sedan,Sedan,"TRAFFIC,UNCLASSIFIED MISDEMEAN",25-44,M,BLACK,MISDEMEANOR,AGGRAVATED HARASSMENT 2,RESIDENCE - APT. HOUSE,25-44,WHITE,F,25-44,WHITE HISPANIC,M,BAR/NIGHT CLUB,FALSE,25-44,M,BLACK,25-44,M,BLACK,2984
Driver Inattention/Distraction,Sedan,Sedan,Sedan,ASSAULT 3,25-44,M,BLACK,MISDEMEANOR,ASSAULT 3,RESIDENCE - APT. HOUSE,25-44,WHITE,M,25-44,WHITE,F,,,,,,,,,2985
Driver Inattention/Distraction,Sedan,Sedan,Sedan,"MARIJUANA, POSSESSION 4 & 5",25-44,M,BLACK,FELONY,"LARCENY,GRAND BY EXTORTION",RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,U,18-24,ASIAN / PACIFIC ISLANDER,M,,,,,,,,,2986
Driver Inattention/Distraction,Sedan,Sedan,Sedan,"TRAFFIC,UNCLASSIFIED MISDEMEAN",25-44,M,BLACK,FELONY,CRIMINAL CONTEMPT 1,RESIDENCE-HOUSE,45-64,AMERICAN INDIAN/ALASKAN NATIVE,M,25-44,AMERICAN INDIAN/ALASKAN NATIVE,F,,,,,,,,,2987
Driver Inattention/Distraction,Sedan,Sedan,Sedan,"TRAFFIC,UNCLASSIFIED MISDEMEAN",25-44,M,BLACK,FELONY,"BURGLARY,RESIDENCE,NIGHT",RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,U,25-44,WHITE HISPANIC,F,,,,,,,,,2988
Driver Inattention/Distraction,Sedan,Sedan,Sedan,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",25-44,M,BLACK,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-ATM TRANSACTION",RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,U,25-44,WHITE HISPANIC,M,GROCERY/BODEGA,FALSE,18-24,M,ASIAN / PACIFIC ISLANDER,25-44,M,WHITE HISPANIC,2989
Driver Inattention/Distraction,Sedan,PASSENGER VEHICLE,Sedan,ASSAULT 3,25-44,M,BLACK,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-ATM TRANSACTION",RESIDENCE-HOUSE,25-44,ASIAN / PACIFIC ISLANDER,M,25-44,WHITE HISPANIC,F,,,,,,,,,2990
Driver Inattention/Distraction,Sedan,Sedan,Sedan,ASSAULT 3,25-44,M,BLACK,MISDEMEANOR,ASSAULT 3,RESIDENCE-HOUSE,25-44,WHITE HISPANIC,M,45-64,WHITE HISPANIC,M,,,,,,,,,2991
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,Station Wagon/Sport Utility Vehicle,ASSAULT 3,25-44,M,BLACK,FELONY,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT",RESIDENCE-HOUSE,(null),(null),(null),25-44,ASIAN / PACIFIC ISLANDER,M,,,,,,,,,2992
Driver Inattention/Distraction,Sedan,Sedan,Sedan,"TRAFFIC,UNCLASSIFIED MISDEMEAN",25-44,M,BLACK,MISDEMEANOR,"NY STATE LAWS,UNCLASSIFIED FEL",RESIDENCE-HOUSE,25-44,ASIAN / PACIFIC ISLANDER,M,18-24,ASIAN / PACIFIC ISLANDER,M,PVT HOUSE,TRUE,25-44,M,BLACK,25-44,M,BLACK,2993
Driver Inattention/Distraction,Sedan,PASSENGER VEHICLE,PASSENGER VEHICLE,"TRAFFIC,UNCLASSIFIED MISDEMEAN",25-44,M,BLACK,MISDEMEANOR,AGGRAVATED HARASSMENT 2,RESIDENCE-HOUSE,25-44,BLACK,M,25-44,BLACK,F,,FALSE,25-44,M,BLACK,18-24,M,BLACK,2994
Driver Inattention/Distraction,Sedan,Sedan,Sedan,ASSAULT 3,25-44,M,BLACK,MISDEMEANOR,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED",STORAGE FACILITY,UNKNOWN,UNKNOWN,U,65+,BLACK,F,MULTI DWELL - APT BUILD,FALSE,25-44,M,BLACK,25-44,M,BLACK,2995
Following Too Closely,PASSENGER VEHICLE,PASSENGER VEHICLE,Sedan,ASSAULT 3,25-44,M,BLACK,,,,,,,,,,,,,,,,,,2996
Driver Inattention/Distraction,Sedan,Sedan,Sedan,"LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED",25-44,M,BLACK,MISDEMEANOR,"SEXUAL ABUSE 3,2",RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,M,25-44,WHITE,F,,,,,,,,,3033
Driver Inattention/Distraction,Sedan,Sedan,Sedan,"NY STATE LAWS,UNCLASSIFIED VIOLATION",25-44,M,BLACK,MISDEMEANOR,"LARCENY,GRAND FROM STORE-SHOPL",CLOTHING/BOUTIQUE,UNKNOWN,UNKNOWN,U,UNKNOWN,UNKNOWN,D,,,,,,,,,3034
Driver Inattention/Distraction,Sedan,Sedan,Sedan,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",25-44,M,BLACK,FELONY,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,U,25-44,UNKNOWN,F,,FALSE,,,,18-24,M,WHITE,3035
Driver Inattention/Distraction,Sedan,PASSENGER VEHICLE,PASSENGER VEHICLE,"MARIJUANA, POSSESSION 4 & 5",25-44,M,BLACK,FELONY,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE",RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,U,25-44,WHITE,F,MULTI DWELL - PUBLIC HOUS,FALSE,25-44,M,BLACK,25-44,M,WHITE HISPANIC,3036
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,ASSAULT 3,25-44,M,WHITE HISPANIC,MISDEMEANOR,AGGRAVATED HARASSMENT 2,RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,U,UNKNOWN,UNKNOWN,M,MULTI DWELL - PUBLIC HOUS,FALSE,25-44,M,WHITE HISPANIC,18-24,M,BLACK,3037
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,"TRESPASS 2, CRIMINAL",25-44,M,WHITE HISPANIC,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE",RESIDENCE - PUBLIC HOUSING,UNKNOWN,UNKNOWN,U,25-44,BLACK,F,MULTI DWELL - PUBLIC HOUS,FALSE,18-24,M,BLACK,25-44,M,BLACK,3038
Driver Inattention/Distraction,Sedan,Sedan,Sedan,ASSAULT 3,25-44,M,WHITE HISPANIC,FELONY,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE",RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,U,25-44,WHITE HISPANIC,F,,TRUE,25-44,M,BLACK HISPANIC,18-24,M,WHITE HISPANIC,3039
Failure to Yield Right-of-Way,Sedan,Sedan,Sedan,"MARIJUANA, POSSESSION 4 & 5",25-44,M,WHITE,FELONY,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,U,25-44,WHITE,M,,FALSE,,,,25-44,M,BLACK,3040
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,ASSAULT 3,25-44,M,WHITE,FELONY,"LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED",RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,U,UNKNOWN,WHITE,D,,FALSE,,,,18-24,M,BLACK,3041
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,"INTOXICATED DRIVING,ALCOHOL",25-44,M,WHITE,FELONY,"FRAUD,UNCLASSIFIED-MISDEMEANOR",RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,U,25-44,WHITE,F,,,,,,,,,3042
Fatigued/Drowsy,PASSENGER VEHICLE,PASSENGER VEHICLE,Station Wagon/Sport Utility Vehicle,ASSAULT 3,25-44,M,WHITE,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED",FACTORY/WAREHOUSE,(null),(null),(null),UNKNOWN,UNKNOWN,D,,,,,,,,,3043
Backing Unsafely,PASSENGER VEHICLE,Box Truck,UNKNOWN,"INTOXICATED DRIVING,ALCOHOL",25-44,M,WHITE,,,,,,,,,,,,,,,,,,3044
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",18-24,M,BLACK,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE",COMMERCIAL BUILDING,(null),(null),(null),25-44,WHITE,M,,,,,,,,,3045
Driver Inattention/Distraction,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,"INTOXICATED DRIVING,ALCOHOL",25-44,M,WHITE HISPANIC,FELONY,"LARCENY,PETIT OF VEHICLE ACCES",STREET,(null),(null),(null),25-44,UNKNOWN,F,,,,,,,,,3046
Driver Inattention/Distraction,Sedan,PASSENGER VEHICLE,Sedan,ASSAULT 3,25-44,M,WHITE,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE",STREET,UNKNOWN,WHITE HISPANIC,F,25-44,WHITE HISPANIC,F,,,,,,,,,3047
Driver Inattention/Distraction,Sedan,Sedan,PASSENGER VEHICLE,"CONTROLLED SUBSTANCE, POSSESSION 7",25-44,M,WHITE,,,,,,,,,,,,,,,,,,3048
Driver Inattention/Distraction,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,ASSAULT 3,25-44,M,WHITE,MISDEMEANOR,"LARCENY,PETIT FROM OPEN AREAS,",RESIDENCE-HOUSE,25-44,UNKNOWN,F,45-64,WHITE,F,,,,,,,,,3049
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,"CONTROLLED SUBSTANCE, POSSESSION 7",25-44,M,WHITE,,,,,,,,,,,,,,,,,,3050
Driver Inattention/Distraction,Sedan,PASSENGER VEHICLE,Sedan,ASSAULT 3,25-44,M,WHITE,MISDEMEANOR,"FRAUD,UNCLASSIFIED-MISDEMEANOR",RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,U,18-24,WHITE,M,,,,,,,,,3051
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,Station Wagon/Sport Utility Vehicle,"TRAFFIC,UNCLASSIFIED MISDEMEAN",25-44,M,WHITE,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-ATM TRANSACTION",RESIDENCE-HOUSE,(null),(null),(null),45-64,ASIAN / PACIFIC ISLANDER,M,,,,,,,,,3052
Failure to Yield Right-of-Way,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,ASSAULT 3,25-44,M,WHITE,FELONY,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT",RESIDENCE-HOUSE,(null),(null),(null),65+,WHITE,F,,,,,,,,,3053
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,"SEXUAL ABUSE 3,2",25-44,M,WHITE HISPANIC,FELONY,SEXUAL ABUSE,RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,M,25-44,WHITE,F,,,,,,,,,3054
Driver Inattention/Distraction,PASSENGER VEHICLE,Station Wagon/Sport Utility Vehicle,PASSENGER VEHICLE,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",25-44,M,BLACK,MISDEMEANOR,"TRESPASS 2, CRIMINAL",RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,U,45-64,WHITE,F,,FALSE,,,,25-44,M,BLACK,3055
Driver Inattention/Distraction,Sedan,PASSENGER VEHICLE,Station Wagon/Sport Utility Vehicle,"INTOXICATED DRIVING,ALCOHOL",25-44,M,WHITE HISPANIC,FELONY,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT",RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,U,45-64,ASIAN / PACIFIC ISLANDER,F,,,,,,,,,3056
Driver Inattention/Distraction,Sedan,Sedan,Sedan,"MARIJUANA, POSSESSION 4 & 5",25-44,M,WHITE,,,,,,,,,,,,,,,,,,3057
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Sedan,PASSENGER VEHICLE,"MARIJUANA, POSSESSION 4 & 5",18-24,M,WHITE,FELONY,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE-HOUSE,(null),(null),(null),45-64,WHITE,M,,,,,,,,,3058
Driver Inattention/Distraction,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,ASSAULT 3,25-44,M,WHITE,FELONY,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE - APT. HOUSE,(null),(null),(null),25-44,BLACK,M,,,,,,,,,3059
Driver Inattention/Distraction,Sedan,Sedan,PASSENGER VEHICLE,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",25-44,M,BLACK,FELONY,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,F,65+,ASIAN / PACIFIC ISLANDER,F,,,,,,,,,3060
Driver Inattention/Distraction,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,"MARIJUANA, POSSESSION 4 & 5",18-24,M,WHITE,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE",STREET,UNKNOWN,UNKNOWN,U,45-64,WHITE,M,,,,,,,,,3061
Driver Inattention/Distraction,Sedan,Sedan,Sedan,"INTOXICATED DRIVING,ALCOHOL",18-24,M,WHITE,,,,,,,,,,,,,,,,,,3062
Driver Inattention/Distraction,Sedan,PASSENGER VEHICLE,Sedan,"MARIJUANA, POSSESSION 4 & 5",18-24,M,WHITE,FELONY,"LARCENY,GRAND BY THEFT OF CREDIT CARD",RESIDENCE-HOUSE,(null),(null),(null),<18,WHITE,M,,,,,,,,,3063
Driver Inattention/Distraction,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,"INTOXICATED DRIVING,ALCOHOL",25-44,M,BLACK,FELONY,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",STREET,UNKNOWN,UNKNOWN,U,65+,ASIAN / PACIFIC ISLANDER,F,,,,,,,,,3064
Driver Inattention/Distraction,PASSENGER VEHICLE,Station Wagon/Sport Utility Vehicle,PASSENGER VEHICLE,"MARIJUANA, POSSESSION 4 & 5",18-24,M,ASIAN / PACIFIC ISLANDER,,,,,,,,,,,,,,,,,,3065
Driver Inattention/Distraction,Sedan,Sedan,Sedan,ASSAULT 3,25-44,M,BLACK,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK",RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,U,25-44,BLACK,F,,,,,,,,,3066
Driver Inattention/Distraction,Sedan,PASSENGER VEHICLE,Station Wagon/Sport Utility Vehicle,ASSAULT 3,25-44,M,BLACK,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE",RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,U,25-44,BLACK,M,,TRUE,25-44,M,BLACK,25-44,M,BLACK,3067
Driver Inattention/Distraction,PASSENGER VEHICLE,Sedan,PASSENGER VEHICLE,ASSAULT 3,25-44,M,BLACK,FELONY,"FRAUD,UNCLASSIFIED-MISDEMEANOR",RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,M,45-64,WHITE HISPANIC,F,,,,,,,,,3068
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,Sedan,ASSAULT 3,25-44,M,BLACK,MISDEMEANOR,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,U,45-64,ASIAN / PACIFIC ISLANDER,F,,,,,,,,,3069
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,ASSAULT 3,25-44,M,BLACK,FELONY,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT",RESIDENCE-HOUSE,45-64,BLACK HISPANIC,M,18-24,UNKNOWN,F,COMMERCIAL BLDG,FALSE,25-44,M,BLACK,25-44,M,WHITE,3070
Driver Inattention/Distraction,Sedan,Sedan,Sedan,"INTOXICATED DRIVING,ALCOHOL",25-44,M,ASIAN / PACIFIC ISLANDER,FELONY,"FRAUD,UNCLASSIFIED-FELONY",RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,U,45-64,ASIAN / PACIFIC ISLANDER,M,,,,,,,,,3071
Driver Inattention/Distraction,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,"NY STATE LAWS,UNCLASSIFIED FELONY",25-44,M,ASIAN / PACIFIC ISLANDER,,,,,,,,,,,,,,,,,,3072
Driver Inattention/Distraction,Sedan,Sedan,Sedan,"INTOXICATED DRIVING,ALCOHOL",25-44,M,WHITE,MISDEMEANOR,"LARCENY,PETIT BY DISHONEST EMP",DRUG STORE,18-24,WHITE HISPANIC,F,UNKNOWN,UNKNOWN,D,,,,,,,,,3108
Driver Inattention/Distraction,Sedan,Sedan,PASSENGER VEHICLE,"MARIJUANA, POSSESSION 4 & 5",25-44,M,BLACK,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE",RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,U,45-64,WHITE,F,BAR/NIGHT CLUB,FALSE,18-24,M,BLACK,25-44,M,BLACK,3109
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,Sedan,"THEFT OF SERVICES, UNCLASSIFIED",25-44,M,BLACK,MISDEMEANOR,"LARCENY,PETIT FROM STORE-SHOPL",DRUG STORE,UNKNOWN,UNKNOWN,U,25-44,WHITE,D,,FALSE,18-24,M,WHITE HISPANIC,<18,M,WHITE,3110
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,ASSAULT 3,25-44,M,BLACK,FELONY,"SEXUAL ABUSE 3,2",RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,M,<18,WHITE HISPANIC,F,,FALSE,45-64,M,WHITE,25-44,M,BLACK HISPANIC,3111
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,Sedan,"CONTROLLED SUBSTANCE, POSSESSION 7",25-44,M,WHITE HISPANIC,MISDEMEANOR,AGGRAVATED HARASSMENT 2,RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,U,25-44,WHITE,F,MULTI DWELL - PUBLIC HOUS,FALSE,18-24,M,BLACK,25-44,M,BLACK,3112
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,ASSAULT 3,25-44,M,BLACK,MISDEMEANOR,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE",RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,U,45-64,UNKNOWN,M,MULTI DWELL - PUBLIC HOUS,FALSE,18-24,M,BLACK,18-24,M,BLACK,3113
Driver Inattention/Distraction,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,ASSAULT 3,25-44,M,WHITE,VIOLATION,"HARASSMENT,SUBD 3,4,5",COMMERCIAL BUILDING,UNKNOWN,UNKNOWN,U,25-44,WHITE,F,,,,,,,,,3115
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",25-44,M,WHITE,FELONY,RAPE 1,STREET,25-44,UNKNOWN,M,25-44,WHITE,F,GAS STATION,FALSE,45-64,M,BLACK HISPANIC,25-44,M,BLACK,3116
Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,ASSAULT 3,25-44,M,WHITE,VIOLATION,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,25-44,WHITE,F,25-44,WHITE,F,,,,,,,,,3117
Backing Unsafely,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,"INTOXICATED DRIVING,ALCOHOL",25-44,M,WHITE,FELONY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED",RESIDENCE - APT. HOUSE,(null),(null),(null),65+,WHITE,M,,,,,,,,,3118
Driver Inattention/Distraction,PASSENGER VEHICLE,Sedan,PASSENGER VEHICLE,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",25-44,M,WHITE HISPANIC,,,,,,,,,,,FALSE,,,,18-24,M,BLACK,3119
Driver Inattention/Distraction,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,"TRAFFIC,UNCLASSIFIED MISDEMEAN",25-44,M,BLACK,,,,,,,,,,,,,,,,,,3120
Driver Inattention/Distraction,PASSENGER VEHICLE,Sedan,Sedan,"INTOXICATED DRIVING,ALCOHOL",25-44,M,BLACK,FELONY,"BURGLARY,COMMERCIAL,DAY",STORAGE FACILITY,UNKNOWN,UNKNOWN,U,UNKNOWN,UNKNOWN,D,,,,,,,,,3121
Driver Inattention/Distraction,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,"INTOXICATED DRIVING,ALCOHOL",25-44,M,WHITE HISPANIC,VIOLATION,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,25-44,WHITE,M,25-44,WHITE,M,,FALSE,25-44,M,BLACK,25-44,M,WHITE,3122
Following Too Closely,PASSENGER VEHICLE,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,ASSAULT 3,25-44,M,WHITE,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE",RESIDENCE-HOUSE,(null),(null),(null),25-44,WHITE,M,,,,,,,,,3123
Driver Inattention/Distraction,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,ASSAULT 3,25-44,M,WHITE,MISDEMEANOR,AGGRAVATED HARASSMENT 2,RESIDENCE-HOUSE,25-44,BLACK,F,25-44,BLACK,M,,FALSE,,,,18-24,M,WHITE HISPANIC,3124
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,ASSAULT 3,25-44,M,WHITE HISPANIC,MISDEMEANOR,FALSE REPORT BOMB,RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,U,UNKNOWN,UNKNOWN,F,,,,,,,,,3125
Driver Inattention/Distraction,Sedan,Sedan,Sedan,ASSAULT 3,25-44,M,WHITE,FELONY,"LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED",RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,U,25-44,ASIAN / PACIFIC ISLANDER,M,,,,,,,,,3126
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,PASSENGER VEHICLE,Sedan,"TRAFFIC,UNCLASSIFIED MISDEMEAN",25-44,M,WHITE,VIOLATION,"HARASSMENT,SUBD 3,4,5",RESIDENCE-HOUSE,UNKNOWN,WHITE HISPANIC,F,25-44,WHITE HISPANIC,M,,,,,,,,,3127
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,"LARCENY,PETIT FROM OPEN AREAS,UNCLASSIFIED",25-44,M,WHITE,MISDEMEANOR,"HARASSMENT,SUBD 3,4,5",RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,U,25-44,WHITE,F,,FALSE,,,,25-44,M,WHITE,3128
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,Sedan,ASSAULT 3,25-44,M,WHITE,MISDEMEANOR,OBSTR BREATH/CIRCUL,RESIDENCE - APT. HOUSE,45-64,ASIAN / PACIFIC ISLANDER,M,25-44,ASIAN / PACIFIC ISLANDER,M,,FALSE,<18,M,ASIAN / PACIFIC ISLANDER,<18,M,WHITE,3129
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,ASSAULT 3,<18,M,WHITE,MISDEMEANOR,"LARCENY,PETIT OF LICENSE PLATE",STREET,(null),(null),(null),45-64,WHITE,M,,,,,,,,,3130
Following Too Closely,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,"INTOXICATED DRIVING,ALCOHOL",25-44,M,WHITE HISPANIC,,,,,,,,,,,,,,,,,,3131
Driver Inattention/Distraction,Sedan,Sedan,Sedan,"MARIJUANA, POSSESSION 4 & 5",25-44,M,WHITE,,,,,,,,,,,,,,,,,,3132
Driver Inattention/Distraction,Sedan,Station Wagon/Sport Utility Vehicle,PASSENGER VEHICLE,ASSAULT 3,25-44,M,WHITE,MISDEMEANOR,"LARCENY,PETIT FROM AUTO",STREET,UNKNOWN,BLACK,U,UNKNOWN,BLACK,M,,,,,,,,,3133
Driver Inattention/Distraction,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,"MARIJUANA, POSSESSION 4 & 5",25-44,M,BLACK,MISDEMEANOR,ASSAULT 3,RESIDENCE-HOUSE,25-44,WHITE,U,25-44,WHITE,M,MULTI DWELL - PUBLIC HOUS,FALSE,25-44,M,BLACK,25-44,M,BLACK,3134
Driver Inattention/Distraction,Sedan,PASSENGER VEHICLE,Sedan,ASSAULT 3,25-44,M,BLACK,FELONY,"SEXUAL ABUSE 3,2",RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,M,25-44,ASIAN / PACIFIC ISLANDER,F,,FALSE,,,,18-24,M,BLACK HISPANIC,3135
Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,PASSENGER VEHICLE,PASSENGER VEHICLE,ASSAULT 3,25-44,M,ASIAN / PACIFIC ISLANDER,FELONY,"FRAUD,UNCLASSIFIED-MISDEMEANOR",RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,U,65+,WHITE,F,,,,,,,,,3136
Driver Inattention/Distraction,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,"TRAFFIC,UNCLASSIFIED MISDEMEAN",25-44,M,BLACK,,,,,,,,,,,,,,,,,,3137
Driver Inattention/Distraction,Sedan,Sedan,PASSENGER VEHICLE,"TRAFFIC,UNCLASSIFIED MISDEMEAN",25-44,M,BLACK,FELONY,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",STORE UNCLASSIFIED,UNKNOWN,UNKNOWN,U,UNKNOWN,UNKNOWN,D,,FALSE,25-44,M,BLACK,25-44,M,BLACK,3138
Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,"TRAFFIC,UNCLASSIFIED MISDEMEAN",25-44,M,WHITE,,,,,,,,,,,,,,,,,,3139
